agent,id,loss,aug,lr,optimizer,schedule,geo_scale_km,geo_bucket,macro_auc,weighted_macro_auc,aves_auc,amphibia_auc,insecta_auc,mammalia_auc,pruned,epochs_run,train_time_s,params,py_path,weights_path,reason
eda,1,plain_bce,none,0.001,adam,constant,2000.0,2000,0.7167,0.7289,0.7024,0.7865,0.755,0.9236,False,10,905.0,2253962,experiments_eda_qwen2.5-coder_7b/exp_001_plain_bce_none_lr0.001_adam_constant_geo2000/model.py,experiments_eda_qwen2.5-coder_7b/exp_001_plain_bce_none_lr0.001_adam_constant_geo2000/model.keras,(fallback: LLM unavailable or unhelpful — picked the next untried EDA-motivated combination)
eda,2,plain_bce,none,0.0005,adam,constant,2000.0,2000,0.7167,0.7335,0.6961,0.8571,0.7313,0.9594,False,10,951.7,2253962,experiments_eda_qwen2.5-coder_7b/exp_002_plain_bce_none_lr0.0005_adam_constant_geo2000/model.py,experiments_eda_qwen2.5-coder_7b/exp_002_plain_bce_none_lr0.0005_adam_constant_geo2000/model.keras,(fallback: LLM unavailable or unhelpful — picked the next untried EDA-motivated combination)
eda,3,plain_bce,none,0.0001,adam,constant,2000.0,2000,0.6138,0.6169,0.6071,0.8218,0.3954,0.6939,False,4,389.1,2253962,experiments_eda_qwen2.5-coder_7b/exp_003_plain_bce_none_lr0.0001_adam_constant_geo2000/model.py,experiments_eda_qwen2.5-coder_7b/exp_003_plain_bce_none_lr0.0001_adam_constant_geo2000/model.keras,(fallback: LLM unavailable or unhelpful — picked the next untried EDA-motivated combination)
eda,4,plain_bce,none,0.001,adam,cosine_decay,2000.0,2000,0.7092,0.7205,0.6953,0.8212,0.6865,0.9094,False,10,1015.0,2253962,experiments_eda_qwen2.5-coder_7b/exp_004_plain_bce_none_lr0.001_adam_cosine_decay_geo2000/model.py,experiments_eda_qwen2.5-coder_7b/exp_004_plain_bce_none_lr0.001_adam_cosine_decay_geo2000/model.keras,(fallback: LLM unavailable or unhelpful — picked the next untried EDA-motivated combination)
eda,5,plain_bce,none,0.0005,adam,cosine_decay,2000.0,2000,0.6413,0.6598,0.6183,0.8222,0.6197,0.9311,False,10,999.7,2253962,experiments_eda_qwen2.5-coder_7b/exp_005_plain_bce_none_lr0.0005_adam_cosine_decay_geo2000/model.py,experiments_eda_qwen2.5-coder_7b/exp_005_plain_bce_none_lr0.0005_adam_cosine_decay_geo2000/model.keras,(fallback: LLM unavailable or unhelpful — picked the next untried EDA-motivated combination)
eda,6,plain_bce,none,0.0001,adam,cosine_decay,2000.0,2000,0.6127,0.616,0.6058,0.8217,0.3956,0.6939,False,4,391.8,2253962,experiments_eda_qwen2.5-coder_7b/exp_006_plain_bce_none_lr0.0001_adam_cosine_decay_geo2000/model.py,experiments_eda_qwen2.5-coder_7b/exp_006_plain_bce_none_lr0.0001_adam_cosine_decay_geo2000/model.keras,(fallback: LLM unavailable or unhelpful — picked the next untried EDA-motivated combination)
eda,7,plain_bce,none,0.001,adam,exp_decay,2000.0,2000,0.734,0.7426,0.7236,0.82,0.7032,0.9245,False,10,978.6,2253962,experiments_eda_qwen2.5-coder_7b/exp_007_plain_bce_none_lr0.001_adam_exp_decay_geo2000/model.py,experiments_eda_qwen2.5-coder_7b/exp_007_plain_bce_none_lr0.001_adam_exp_decay_geo2000/model.keras,(fallback: LLM unavailable or unhelpful — picked the next untried EDA-motivated combination)
eda,8,plain_bce,none,0.0005,adam,exp_decay,2000.0,2000,0.6795,0.6966,0.6585,0.8232,0.6921,0.9292,False,10,961.8,2253962,experiments_eda_qwen2.5-coder_7b/exp_008_plain_bce_none_lr0.0005_adam_exp_decay_geo2000/model.py,experiments_eda_qwen2.5-coder_7b/exp_008_plain_bce_none_lr0.0005_adam_exp_decay_geo2000/model.keras,(fallback: LLM unavailable or unhelpful — picked the next untried EDA-motivated combination)
eda,9,plain_bce,none,0.0001,adam,exp_decay,2000.0,2000,0.6138,0.6169,0.6071,0.8218,0.3954,0.6939,False,4,387.5,2253962,experiments_eda_qwen2.5-coder_7b/exp_009_plain_bce_none_lr0.0001_adam_exp_decay_geo2000/model.py,experiments_eda_qwen2.5-coder_7b/exp_009_plain_bce_none_lr0.0001_adam_exp_decay_geo2000/model.keras,(fallback: LLM unavailable or unhelpful — picked the next untried EDA-motivated combination)
eda,10,plain_bce,none,0.001,adamw,constant,2000.0,2000,0.7295,0.7406,0.7155,0.8234,0.7591,0.8226,False,10,967.8,2253962,experiments_eda_qwen2.5-coder_7b/exp_010_plain_bce_none_lr0.001_adamw_constant_geo2000/model.py,experiments_eda_qwen2.5-coder_7b/exp_010_plain_bce_none_lr0.001_adamw_constant_geo2000/model.keras,(fallback: LLM unavailable or unhelpful — picked the next untried EDA-motivated combination)
creative,1,focal loss gamma 1.5,gentle mixup plus small noise,0.0003,AdamW weight_decay 5e-5,cosine decay,,,0.6057,0.6246,0.5821,0.7985,0.5751,0.8962,False,10,867.1,2253962,experiments_creative_qwen2.5-coder_7b/exp_001_fallback_adamw_focal_mixup_lr0.0003/model.py,experiments_creative_qwen2.5-coder_7b/exp_001_fallback_adamw_focal_mixup_lr0.0003/model.keras,"Fallback free-form recipe: moderate focal loss, gentle mixed augmentation, AdamW regularization, and smooth decay."
creative,2,weighted BCE with clipped positive weights,moderate SpecAugment,0.0002,AdamW weight_decay 1e-4,constant LR with ReduceLROnPlateau,,,0.6904,0.7131,0.6623,0.8675,0.7572,0.9123,False,10,892.8,2253962,experiments_creative_qwen2.5-coder_7b/exp_002_fallback_weighted_bce_specaugment_lr0.0002/model.py,experiments_creative_qwen2.5-coder_7b/exp_002_fallback_weighted_bce_specaugment_lr0.0002/model.keras,"Fallback free-form recipe: stabilize warm-start fine-tuning with weighted BCE, moderate masking, AdamW, and plateau-based LR cuts."
creative,3,asymmetric focal loss,background mix,0.00015,Nadam,exponential decay,,,0.6358,0.642,0.6261,0.7967,0.5272,0.6887,False,10,905.0,2253962,experiments_creative_qwen2.5-coder_7b/exp_003_fallback_asym_focal_background_lr0.00015/model.py,experiments_creative_qwen2.5-coder_7b/exp_003_fallback_asym_focal_background_lr0.00015/model.keras,Fallback free-form recipe: try a conservative asymmetric focal objective with background blending and Nadam for smoother updates.
creative,4,binary cross-entropy with label smoothing,time shift,0.0005,Adam,cosine decay,,,0.6324,0.6593,0.5997,0.821,0.7268,0.9226,False,10,926.1,2253962,experiments_creative_qwen2.5-coder_7b/exp_004_fallback_smoothed_bce_timeshift_lr0.0005/model.py,experiments_creative_qwen2.5-coder_7b/exp_004_fallback_smoothed_bce_timeshift_lr0.0005/model.keras,Fallback free-form recipe: mild label smoothing and time shifts probe whether the baseline benefits from calibration and invariance.
creative,5,focal loss gamma 1.5,gentle mixup plus small noise,0.000225,AdamW weight_decay 5e-5,cosine decay,,,0.6035,0.6192,0.5812,0.8383,0.5772,0.5774,False,10,943.3,2253962,experiments_creative_qwen2.5-coder_7b/exp_005_fallback_adamw_focal_mixup_lr0.000225/model.py,experiments_creative_qwen2.5-coder_7b/exp_005_fallback_adamw_focal_mixup_lr0.000225/model.keras,"Fallback free-form recipe: moderate focal loss, gentle mixed augmentation, AdamW regularization, and smooth decay. Deterministic fallback variant with LR scale 0.75."
creative,6,weighted BCE with clipped positive weights,moderate SpecAugment,0.00014,AdamW weight_decay 1e-4,constant LR with ReduceLROnPlateau,,,0.6762,0.6994,0.6477,0.8475,0.7523,0.9132,False,10,911.0,2253962,experiments_creative_qwen2.5-coder_7b/exp_006_fallback_weighted_bce_specaugment_lr0.00014/model.py,experiments_creative_qwen2.5-coder_7b/exp_006_fallback_weighted_bce_specaugment_lr0.00014/model.keras,"Fallback free-form recipe: stabilize warm-start fine-tuning with weighted BCE, moderate masking, AdamW, and plateau-based LR cuts. Deterministic fallback variant with LR scale 0.70."
creative,7,asymmetric focal loss,background mix,9.749999999999998e-05,Nadam,exponential decay,,,0.5836,0.6069,0.5543,0.804,0.5913,0.8642,False,10,917.0,2253962,experiments_creative_qwen2.5-coder_7b/exp_007_fallback_asym_focal_background_lr9.75e-05/model.py,experiments_creative_qwen2.5-coder_7b/exp_007_fallback_asym_focal_background_lr9.75e-05/model.keras,Fallback free-form recipe: try a conservative asymmetric focal objective with background blending and Nadam for smoother updates. Deterministic fallback variant with LR scale 0.65.
creative,8,binary cross-entropy with label smoothing,time shift,0.0003,Adam,cosine decay,,,0.5849,0.6056,0.5592,0.7932,0.5373,0.9642,False,10,911.3,2253962,experiments_creative_qwen2.5-coder_7b/exp_008_fallback_smoothed_bce_timeshift_lr0.0003/model.py,experiments_creative_qwen2.5-coder_7b/exp_008_fallback_smoothed_bce_timeshift_lr0.0003/model.keras,Fallback free-form recipe: mild label smoothing and time shifts probe whether the baseline benefits from calibration and invariance. Deterministic fallback variant with LR scale 0.60.
creative,9,focal loss gamma 1.5,gentle mixup plus small noise,0.000165,AdamW weight_decay 5e-5,cosine decay,,,0.6083,0.6277,0.582,0.836,0.6362,0.6127,False,10,937.5,2253962,experiments_creative_qwen2.5-coder_7b/exp_009_fallback_adamw_focal_mixup_lr0.000165/model.py,experiments_creative_qwen2.5-coder_7b/exp_009_fallback_adamw_focal_mixup_lr0.000165/model.keras,"Fallback free-form recipe: moderate focal loss, gentle mixed augmentation, AdamW regularization, and smooth decay. Deterministic fallback variant with LR scale 0.55."
creative,10,weighted BCE with clipped positive weights,moderate SpecAugment,0.0001,AdamW weight_decay 1e-4,constant LR with ReduceLROnPlateau,,,0.69,0.695,0.6821,0.8424,0.5528,0.8104,False,10,915.8,2253962,experiments_creative_qwen2.5-coder_7b/exp_010_fallback_weighted_bce_specaugment_lr0.0001/model.py,experiments_creative_qwen2.5-coder_7b/exp_010_fallback_weighted_bce_specaugment_lr0.0001/model.keras,"Fallback free-form recipe: stabilize warm-start fine-tuning with weighted BCE, moderate masking, AdamW, and plateau-based LR cuts. Deterministic fallback variant with LR scale 0.50."
