agent,id,loss,aug,lr,optimizer,schedule,geo_scale_km,geo_bucket,macro_auc,weighted_macro_auc,aves_auc,amphibia_auc,insecta_auc,mammalia_auc,pruned,epochs_run,train_time_s,params,py_path,weights_path,reason
eda,4,focal_g2.0,mixup,0.0005,adamw,cosine_decay,500.0,500,0.6384,0.6536,0.6191,0.812,0.5839,0.9019,False,9,3640.0,2253962,experiments_eda_gemma4\exp_004_focal_g2.0_mixup_lr0.0005_adamw_cosine_decay_geo500\model.py,experiments_eda_gemma4\exp_004_focal_g2.0_mixup_lr0.0005_adamw_cosine_decay_geo500\model.keras,"This configuration aims to maximize generalization across multiple challenging domains. We use `focal_g2.0` to specifically address the severe class long-tail within Aves (Finding 2). `mixup` is chosen for augmentation because it synthesizes multi-label examples, directly mitigating the massive shift from monophonic focal data to complex soundscapes (Finding 4). We use `adamw` and `cosine_decay` as they proved effective in the best previous run (Run 3). Finally, setting the geographic scale to `500km` aggressively weights the training data toward the Pantanal wetlands, addressing the critical geographic domain shift (Finding 5)."
eda,5,weighted_bce,mixup,0.001,adamw,cosine_decay,300.0,300,0.6847,0.706,0.6581,0.8548,0.7476,0.8802,False,9,2949.5,2253962,experiments_eda_gemma4\exp_005_weighted_bce_mixup_lr0.001_adamw_cosine_decay_geo300\model.py,experiments_eda_gemma4\exp_005_weighted_bce_mixup_lr0.001_adamw_cosine_decay_geo300\model.keras,"This configuration aims to maximize performance by addressing the three most critical dataset challenges. We use `weighted_bce` to directly mitigate the severe class imbalance (Finding 1) which disproportionately affects the macro AUC metric. We use `mixup` to synthesize multi-label examples, directly addressing the shift from monophonic focal data to complex soundscapes (Finding 4). Finally, setting `geo=300` provides an aggressive weighting toward the Pantanal wetlands (Finding 5), which is crucial given that the test set is highly localized while the training data is global."
eda,6,weighted_bce,background_mix,0.0001,adam,constant,2000.0,2000,0.6749,0.6862,0.6604,0.7934,0.6651,0.8132,False,10,4010.2,2253962,experiments_eda_gemma4\exp_006_weighted_bce_background_mix_lr0.0001_adam_constant_geo2000\model.py,experiments_eda_gemma4\exp_006_weighted_bce_background_mix_lr0.0001_adam_constant_geo2000\model.keras,"This configuration aims to robustly address the dataset's core challenges. Using `weighted_bce` mitigates the severe taxonomic imbalance (Finding 1), which disproportionately affects the macro AUC. Pairing this with `background_mix` directly simulates the soundscape test condition and addresses the spectral domain shift caused by the continuous insect chorus (Finding 3). Furthermore, using `adam` and a `constant` schedule with a lower learning rate (`1e-4`) explores a different optimization path for fine-tuning, while the 2000 km geographic scale provides a moderate weighting, ensuring that some in-domain Pantanal data contributes without overly biasing the model."
eda,7,weighted_bce,mixup,0.0005,adamw,cosine_decay,700.0,700,0.6932,0.7047,0.6785,0.8149,0.6816,0.834,False,10,3270.1,2253962,experiments_eda_gemma4\exp_007_weighted_bce_mixup_lr0.0005_adamw_cosine_decay_geo700\model.py,experiments_eda_gemma4\exp_007_weighted_bce_mixup_lr0.0005_adamw_cosine_decay_geo700\model.keras,"This configuration aims to tackle the primary challenges identified in the EDA. We use `weighted_bce` (Finding 1) to mitigate the severe taxonomic imbalance, ensuring that the macro AUC is not disproportionately dragged down by poorly-modeled non-bird classes. We employ `mixup` (Finding 4) to synthesize multi-label examples, directly addressing the shift from monophonic focal recordings to dense, multi-species soundscapes in the test set. Finally, setting `GEO_SCALE_KM` to 700 km provides an aggressive, yet distinct, weighting toward the Pantanal region (Finding 5), improving domain generalization."
eda,8,weighted_bce,background_mix,0.0005,adamw,cosine_decay,450.0,400,0.6574,0.6813,0.6275,0.8604,0.7042,0.9075,False,10,3680.3,2253962,experiments_eda_gemma4\exp_008_weighted_bce_background_mix_lr0.0005_adamw_cosine_decay_geo400\model.py,experiments_eda_gemma4\exp_008_weighted_bce_background_mix_lr0.0005_adamw_cosine_decay_geo400\model.keras,"This configuration targets the most critical domain shifts and class imbalances. We use `weighted_bce` (Finding 1) to address the severe taxonomic imbalance (Aves dominance) and improve the macro AUC metric. `background_mix` (Finding 3) directly simulates the transition from clean, monophonic focal recordings to complex, continuous soundscapes found in the test set. Finally, setting `GEO_SCALE_KM` to 450 km aggressively weights the training data toward the Pantanal wetlands (Finding 5), maximizing the relevance of the limited in-domain samples."
eda,9,weighted_bce,mixup,0.0005,adamw,cosine_decay,400.0,400,0.6667,0.683,0.6463,0.83,0.6406,0.9302,False,10,3631.0,2253962,experiments_eda_gemma4\exp_009_weighted_bce_mixup_lr0.0005_adamw_cosine_decay_geo400\model.py,experiments_eda_gemma4\exp_009_weighted_bce_mixup_lr0.0005_adamw_cosine_decay_geo400\model.keras,"This configuration aims to maximize performance by addressing the three most critical dataset biases. We use `weighted_bce` to mitigate the severe taxonomic and class long-tail imbalance (Finding 1 & 2). We employ `mixup` augmentation to synthesize multi-label examples, directly simulating the high density of simultaneous species found in the test soundscapes (Finding 4). Finally, setting the geographic scale to 400km provides an aggressive, yet novel, weighting that focuses the model on the Pantanal region, addressing the geographic domain shift (Finding 5)."
eda,10,weighted_bce,mixup,0.001,adamw,cosine_decay,200.0,200,0.6591,0.6866,0.6252,0.8537,0.7617,0.9358,False,10,2429.5,2253962,experiments_eda_gemma4\exp_010_weighted_bce_mixup_lr0.001_adamw_cosine_decay_geo200\model.py,experiments_eda_gemma4\exp_010_weighted_bce_mixup_lr0.001_adamw_cosine_decay_geo200\model.keras,"This configuration aims to maximize performance by addressing the three most critical dataset challenges. We retain `weighted_bce` to mitigate the severe taxonomic imbalance (Finding 1) and the class long-tail (Finding 2), which disproportionately lowers the macro AUC. We use `mixup` to synthesize multi-label examples, directly simulating the high density of simultaneous species found in the test soundscapes (Finding 4). Finally, setting the geographic scale to 200 km aggressively weights the training data toward the Pantanal wetlands, mitigating the significant geographic domain shift (Finding 5) observed between the global training set and the local test set."
creative,1,focal loss gamma 1.5,gentle mixup plus small noise,0.0003,AdamW weight_decay 5e-5,cosine decay,,,0.5961,0.6139,0.5734,0.8037,0.5368,0.8755,False,10,2458.6,2253962,experiments_creative_gemma4\exp_001_fallback_adamw_focal_mixup_lr0.0003\model.py,experiments_creative_gemma4\exp_001_fallback_adamw_focal_mixup_lr0.0003\model.keras,"Fallback free-form recipe: moderate focal loss, gentle mixed augmentation, AdamW regularization, and smooth decay."
creative,2,weighted BCE with clipped positive weights,moderate SpecAugment,0.0002,AdamW weight_decay 1e-4,constant LR with ReduceLROnPlateau,,,0.6784,0.7005,0.6509,0.825,0.8076,0.7858,False,10,2308.0,2253962,experiments_creative_gemma4\exp_002_fallback_weighted_bce_specaugment_lr0.0002\model.py,experiments_creative_gemma4\exp_002_fallback_weighted_bce_specaugment_lr0.0002\model.keras,"Fallback free-form recipe: stabilize warm-start fine-tuning with weighted BCE, moderate masking, AdamW, and plateau-based LR cuts."
creative,3,asymmetric focal loss,background mix,0.00015,Nadam,exponential decay,,,0.6358,0.6437,0.6245,0.7879,0.5551,0.7113,False,10,21738.9,2253962,experiments_creative_gemma4\exp_003_fallback_asym_focal_background_lr0.00015\model.py,experiments_creative_gemma4\exp_003_fallback_asym_focal_background_lr0.00015\model.keras,Fallback free-form recipe: try a conservative asymmetric focal objective with background blending and Nadam for smoother updates.
creative,4,binary cross-entropy with label smoothing,time shift,0.0005,Adam,cosine decay,,,0.6294,0.6591,0.5929,0.8488,0.725,0.9377,False,10,2331.3,2253962,experiments_creative_gemma4\exp_004_fallback_smoothed_bce_timeshift_lr0.0005\model.py,experiments_creative_gemma4\exp_004_fallback_smoothed_bce_timeshift_lr0.0005\model.keras,Fallback free-form recipe: mild label smoothing and time shifts probe whether the baseline benefits from calibration and invariance.
creative,5,focal loss gamma 1.5,gentle mixup plus small noise,0.000225,AdamW weight_decay 5e-5,cosine decay,,,0.6351,0.6521,0.6118,0.8425,0.6568,0.6179,False,10,3919.0,2253962,experiments_creative_gemma4\exp_005_fallback_adamw_focal_mixup_lr0.000225\model.py,experiments_creative_gemma4\exp_005_fallback_adamw_focal_mixup_lr0.000225\model.keras,"Fallback free-form recipe: moderate focal loss, gentle mixed augmentation, AdamW regularization, and smooth decay. Deterministic fallback variant with LR scale 0.75."
creative,6,weighted BCE with clipped positive weights,moderate SpecAugment,0.00014,AdamW weight_decay 1e-4,constant LR with ReduceLROnPlateau,,,0.6594,0.674,0.6401,0.8384,0.6373,0.7679,False,10,2815.9,2253962,experiments_creative_gemma4\exp_006_fallback_weighted_bce_specaugment_lr0.00014\model.py,experiments_creative_gemma4\exp_006_fallback_weighted_bce_specaugment_lr0.00014\model.keras,"Fallback free-form recipe: stabilize warm-start fine-tuning with weighted BCE, moderate masking, AdamW, and plateau-based LR cuts. Deterministic fallback variant with LR scale 0.70."
creative,7,asymmetric focal loss,background mix,9.749999999999998e-05,Nadam,exponential decay,,,0.5814,0.6035,0.5535,0.8026,0.5654,0.8774,False,10,2580.0,2253962,experiments_creative_gemma4\exp_007_fallback_asym_focal_background_lr9.75e-05\model.py,experiments_creative_gemma4\exp_007_fallback_asym_focal_background_lr9.75e-05\model.keras,Fallback free-form recipe: try a conservative asymmetric focal objective with background blending and Nadam for smoother updates. Deterministic fallback variant with LR scale 0.65.
creative,8,binary cross-entropy with label smoothing,time shift,0.0003,Adam,cosine decay,,,0.5747,0.5997,0.5437,0.7969,0.5864,0.9198,False,10,5034.8,2253962,experiments_creative_gemma4\exp_008_fallback_smoothed_bce_timeshift_lr0.0003\model.py,experiments_creative_gemma4\exp_008_fallback_smoothed_bce_timeshift_lr0.0003\model.keras,Fallback free-form recipe: mild label smoothing and time shifts probe whether the baseline benefits from calibration and invariance. Deterministic fallback variant with LR scale 0.60.
creative,9,focal loss gamma 1.5,gentle mixup plus small noise,0.000165,AdamW weight_decay 5e-5,cosine decay,,,0.6174,0.6343,0.5941,0.8382,0.6268,0.5821,False,10,3371.8,2253962,experiments_creative_gemma4\exp_009_fallback_adamw_focal_mixup_lr0.000165\model.py,experiments_creative_gemma4\exp_009_fallback_adamw_focal_mixup_lr0.000165\model.keras,"Fallback free-form recipe: moderate focal loss, gentle mixed augmentation, AdamW regularization, and smooth decay. Deterministic fallback variant with LR scale 0.55."
creative,10,weighted BCE with clipped positive weights,moderate SpecAugment,0.0001,AdamW weight_decay 1e-4,constant LR with ReduceLROnPlateau,,,0.6286,0.651,0.6022,0.7273,0.7778,0.8623,False,10,5143.4,2253962,experiments_creative_gemma4\exp_010_fallback_weighted_bce_specaugment_lr0.0001\model.py,experiments_creative_gemma4\exp_010_fallback_weighted_bce_specaugment_lr0.0001\model.keras,"Fallback free-form recipe: stabilize warm-start fine-tuning with weighted BCE, moderate masking, AdamW, and plateau-based LR cuts. Deterministic fallback variant with LR scale 0.50."
